Drug 1,Drug 2,Interaction Description
Gemifloxacin,Digoxin,Gemifloxacin may decrease the cardiotoxic activities of Digoxin.
Ciprofloxacin,Digoxin,Ciprofloxacin may decrease the cardiotoxic activities of Digoxin.
Lenvatinib,Digoxin,Lenvatinib may decrease the cardiotoxic activities of Digoxin.
Ofloxacin,Digoxin,Ofloxacin may decrease the cardiotoxic activities of Digoxin.
Toremifene,Digoxin,Toremifene may decrease the cardiotoxic activities of Digoxin.
Arsenic trioxide,Digoxin,Arsenic trioxide may decrease the cardiotoxic activities of Digoxin.
Levofloxacin,Digoxin,Levofloxacin may decrease the cardiotoxic activities of Digoxin.
Goserelin,Digoxin,Goserelin may decrease the cardiotoxic activities of Digoxin.
Vorinostat,Digoxin,Vorinostat may decrease the cardiotoxic activities of Digoxin.
Octreotide,Digoxin,Octreotide may decrease the cardiotoxic activities of Digoxin.
Triptorelin,Digoxin,Triptorelin may decrease the cardiotoxic activities of Digoxin.
Degarelix,Digoxin,Degarelix may decrease the cardiotoxic activities of Digoxin.
Indapamide,Digoxin,The risk or severity of adverse effects can be increased when Indapamide is combined with Digoxin.
Eribulin,Digoxin,Eribulin may decrease the cardiotoxic activities of Digoxin.
Epirubicin,Digoxin,Epirubicin may decrease the cardiotoxic activities of Digoxin.
Streptomycin,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Streptomycin.
Metrizamide,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Metrizamide.
Kanamycin,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Kanamycin.
Idarubicin,Digoxin,Idarubicin may decrease the cardiotoxic activities of Digoxin.
Plicamycin,Digoxin,Plicamycin may decrease the cardiotoxic activities of Digoxin.
Streptozocin,Digoxin,Streptozocin may decrease the cardiotoxic activities of Digoxin.
Tobramycin,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Tobramycin.
Amrubicin,Digoxin,Amrubicin may decrease the cardiotoxic activities of Digoxin.
Framycetin,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Framycetin.
Netilmicin,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Netilmicin.
Amikacin,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Amikacin.
Valrubicin,Digoxin,Valrubicin may decrease the cardiotoxic activities of Digoxin.
Daunorubicin,Digoxin,Daunorubicin may decrease the cardiotoxic activities of Digoxin.
Ribostamycin,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Ribostamycin.
Doxorubicin,Digoxin,Doxorubicin may decrease the cardiotoxic activities of Digoxin.
Doxorubicin,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Doxorubicin.
Arbekacin,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Arbekacin.
Gentamicin,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Gentamicin.
Paromomycin,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Paromomycin.
Spectinomycin,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Spectinomycin.
Prednisone,Digoxin,Prednisone may decrease the cardiotoxic activities of Digoxin.
Methylprednisolone,Digoxin,Methylprednisolone may decrease the cardiotoxic activities of Digoxin.
Formestane,Digoxin,Formestane may decrease the cardiotoxic activities of Digoxin.
Pamidronic acid,Digoxin,Pamidronic acid may decrease the cardiotoxic activities of Digoxin.
Bendroflumethiazide,Digoxin,The risk or severity of adverse effects can be increased when Bendroflumethiazide is combined with Digoxin.
Milnacipran,Digoxin,The risk or severity of adverse effects can be increased when Milnacipran is combined with Digoxin.
Practolol,Digoxin,Practolol may increase the bradycardic activities of Digoxin.
Altretamine,Digoxin,Altretamine may decrease the cardiotoxic activities of Digoxin.
Arotinolol,Digoxin,Arotinolol may increase the bradycardic activities of Digoxin.
Bretylium,Digoxin,Bretylium may increase the bradycardic activities of Digoxin.
Bevantolol,Digoxin,Bevantolol may increase the bradycardic activities of Digoxin.
Chlorthalidone,Digoxin,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Digoxin.
Tretinoin,Digoxin,Tretinoin may decrease the cardiotoxic activities of Digoxin.
Methyclothiazide,Digoxin,The risk or severity of adverse effects can be increased when Methyclothiazide is combined with Digoxin.
Clofarabine,Digoxin,Clofarabine may decrease the cardiotoxic activities of Digoxin.
Amiloride,Digoxin,The therapeutic efficacy of Digoxin can be decreased when used in combination with Amiloride.
Triamterene,Digoxin,The therapeutic efficacy of Digoxin can be decreased when used in combination with Triamterene.
Hydrochlorothiazide,Digoxin,The risk or severity of adverse effects can be increased when Hydrochlorothiazide is combined with Digoxin.
Eplerenone,Digoxin,The therapeutic efficacy of Digoxin can be decreased when used in combination with Eplerenone.
Hydroflumethiazide,Digoxin,The risk or severity of adverse effects can be increased when Hydroflumethiazide is combined with Digoxin.
Metolazone,Digoxin,The risk or severity of adverse effects can be increased when Metolazone is combined with Digoxin.
Barnidipine,Digoxin,The risk or severity of adverse effects can be increased when Barnidipine is combined with Digoxin.
Chlorothiazide,Digoxin,The risk or severity of adverse effects can be increased when Chlorothiazide is combined with Digoxin.
Quinacrine,Digoxin,Quinacrine may decrease the cardiotoxic activities of Digoxin.
Nelarabine,Digoxin,Nelarabine may decrease the cardiotoxic activities of Digoxin.
Azacitidine,Digoxin,Azacitidine may decrease the cardiotoxic activities of Digoxin.
Ifosfamide,Digoxin,Ifosfamide may decrease the cardiotoxic activities of Digoxin.
Cytarabine,Digoxin,Cytarabine may decrease the cardiotoxic activities of Digoxin.
Lomustine,Digoxin,Lomustine may decrease the cardiotoxic activities of Digoxin.
Tofacitinib,Digoxin,Tofacitinib may increase the bradycardic activities of Digoxin.
Mechlorethamine,Digoxin,Mechlorethamine may decrease the cardiotoxic activities of Digoxin.
Vincristine,Digoxin,Vincristine may decrease the cardiotoxic activities of Digoxin.
Temozolomide,Digoxin,Temozolomide may decrease the cardiotoxic activities of Digoxin.
Busulfan,Digoxin,Busulfan may decrease the cardiotoxic activities of Digoxin.
Vinorelbine,Digoxin,Vinorelbine may decrease the cardiotoxic activities of Digoxin.
Tioguanine,Digoxin,Tioguanine may decrease the cardiotoxic activities of Digoxin.
Mitoxantrone,Digoxin,Mitoxantrone may decrease the cardiotoxic activities of Digoxin.
Fluorouracil,Digoxin,Fluorouracil may decrease the cardiotoxic activities of Digoxin.
Imiquimod,Digoxin,Imiquimod may decrease the cardiotoxic activities of Digoxin.
Oxaliplatin,Digoxin,Oxaliplatin may decrease the cardiotoxic activities of Digoxin.
Pemetrexed,Digoxin,Pemetrexed may decrease the cardiotoxic activities of Digoxin.
Capecitabine,Digoxin,Capecitabine may decrease the cardiotoxic activities of Digoxin.
Fludarabine,Digoxin,Fludarabine may decrease the cardiotoxic activities of Digoxin.
Pralatrexate,Digoxin,Pralatrexate may decrease the cardiotoxic activities of Digoxin.
Etoposide,Digoxin,Etoposide may decrease the cardiotoxic activities of Digoxin.
Ruxolitinib,Digoxin,Ruxolitinib may increase the bradycardic activities of Digoxin.
Melphalan,Digoxin,Melphalan may decrease the cardiotoxic activities of Digoxin.
Sorafenib,Digoxin,Sorafenib may decrease the cardiotoxic activities of Digoxin.
Teniposide,Digoxin,Teniposide may decrease the cardiotoxic activities of Digoxin.
Everolimus,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Everolimus.
Azathioprine,Digoxin,Azathioprine may decrease the cardiotoxic activities of Digoxin.
Dactinomycin,Digoxin,Dactinomycin may decrease the cardiotoxic activities of Digoxin.
Mitomycin,Digoxin,Mitomycin may decrease the cardiotoxic activities of Digoxin.
Cisplatin,Digoxin,Cisplatin may decrease the cardiotoxic activities of Digoxin.
Carmustine,Digoxin,Carmustine may decrease the cardiotoxic activities of Digoxin.
Hydroxyurea,Digoxin,Hydroxyurea may decrease the cardiotoxic activities of Digoxin.
Cladribine,Digoxin,Cladribine may decrease the cardiotoxic activities of Digoxin.
Ibrutinib,Digoxin,Ibrutinib may decrease the cardiotoxic activities of Digoxin.
Amsacrine,Digoxin,Amsacrine may decrease the cardiotoxic activities of Digoxin.
Vinblastine,Digoxin,Vinblastine may decrease the cardiotoxic activities of Digoxin.
Temsirolimus,Digoxin,Temsirolimus may decrease the cardiotoxic activities of Digoxin.
Thiotepa,Digoxin,Thiotepa may decrease the cardiotoxic activities of Digoxin.
Gemcitabine,Digoxin,Gemcitabine may decrease the cardiotoxic activities of Digoxin.
Chlorambucil,Digoxin,Chlorambucil may decrease the cardiotoxic activities of Digoxin.
Mercaptopurine,Digoxin,Mercaptopurine may decrease the cardiotoxic activities of Digoxin.
Methotrexate,Digoxin,Methotrexate may decrease the cardiotoxic activities of Digoxin.
Bleomycin,Digoxin,Bleomycin may decrease the cardiotoxic activities of Digoxin.
Estramustine,Digoxin,Estramustine may decrease the cardiotoxic activities of Digoxin.
Vindesine,Digoxin,Vindesine may decrease the cardiotoxic activities of Digoxin.
Floxuridine,Digoxin,Floxuridine may decrease the cardiotoxic activities of Digoxin.
Dacarbazine,Digoxin,Dacarbazine may decrease the cardiotoxic activities of Digoxin.
Trabectedin,Digoxin,Trabectedin may decrease the cardiotoxic activities of Digoxin.
Irinotecan,Digoxin,Irinotecan may decrease the cardiotoxic activities of Digoxin.
Gallium nitrate,Digoxin,Gallium nitrate may decrease the cardiotoxic activities of Digoxin.
Topotecan,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Topotecan.
Tibolone,Digoxin,Tibolone may decrease the cardiotoxic activities of Digoxin.
Polythiazide,Digoxin,The risk or severity of adverse effects can be increased when Polythiazide is combined with Digoxin.
Trichlormethiazide,Digoxin,The risk or severity of adverse effects can be increased when Trichlormethiazide is combined with Digoxin.
Albendazole,Digoxin,Albendazole may decrease the cardiotoxic activities of Digoxin.
Podofilox,Digoxin,Podofilox may decrease the cardiotoxic activities of Digoxin.
Gefitinib,Digoxin,Gefitinib may decrease the cardiotoxic activities of Digoxin.
Lapatinib,Digoxin,Lapatinib may decrease the cardiotoxic activities of Digoxin.
Regorafenib,Digoxin,Regorafenib may increase the bradycardic activities of Digoxin.
Ponatinib,Digoxin,Ponatinib may decrease the cardiotoxic activities of Digoxin.
Paricalcitol,Digoxin,The risk or severity of adverse effects can be increased when Paricalcitol is combined with Digoxin.
Bendamustine,Digoxin,Bendamustine may decrease the cardiotoxic activities of Digoxin.
Axitinib,Digoxin,Axitinib may decrease the cardiotoxic activities of Digoxin.
Flutamide,Digoxin,Flutamide may decrease the cardiotoxic activities of Digoxin.
Nilutamide,Digoxin,Nilutamide may decrease the cardiotoxic activities of Digoxin.
Vismodegib,Digoxin,Vismodegib may decrease the cardiotoxic activities of Digoxin.
Exemestane,Digoxin,Exemestane may decrease the cardiotoxic activities of Digoxin.
Methyltestosterone,Digoxin,Methyltestosterone may decrease the cardiotoxic activities of Digoxin.
Bexarotene,Digoxin,Bexarotene may decrease the cardiotoxic activities of Digoxin.
Venetoclax,Digoxin,Venetoclax may decrease the cardiotoxic activities of Digoxin.
Tamoxifen,Digoxin,Tamoxifen may decrease the cardiotoxic activities of Digoxin.
Cabozantinib,Digoxin,Cabozantinib may decrease the cardiotoxic activities of Digoxin.
Romidepsin,Digoxin,Romidepsin may decrease the cardiotoxic activities of Digoxin.
Fulvestrant,Digoxin,Fulvestrant may decrease the cardiotoxic activities of Digoxin.
Erlotinib,Digoxin,Erlotinib may decrease the cardiotoxic activities of Digoxin.
Hydroxyprogesterone caproate,Digoxin,Hydroxyprogesterone caproate may decrease the cardiotoxic activities of Digoxin.
Dabrafenib,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Dabrafenib.
Mebendazole,Digoxin,Mebendazole may decrease the cardiotoxic activities of Digoxin.
Bicalutamide,Digoxin,Bicalutamide may decrease the cardiotoxic activities of Digoxin.
Ixabepilone,Digoxin,Ixabepilone may decrease the cardiotoxic activities of Digoxin.
Lomefloxacin,Digoxin,Lomefloxacin may decrease the cardiotoxic activities of Digoxin.
Colchicine,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Colchicine.
Quinethazone,Digoxin,The risk or severity of adverse effects can be increased when Quinethazone is combined with Digoxin.
Decitabine,Digoxin,Decitabine may decrease the cardiotoxic activities of Digoxin.
Carfilzomib,Digoxin,Carfilzomib may decrease the cardiotoxic activities of Digoxin.
Dexrazoxane,Digoxin,Dexrazoxane may decrease the cardiotoxic activities of Digoxin.
Vitamin A,Digoxin,Vitamin A may decrease the cardiotoxic activities of Digoxin.
Nedaplatin,Digoxin,Nedaplatin may decrease the cardiotoxic activities of Digoxin.
Vinflunine,Digoxin,Vinflunine may decrease the cardiotoxic activities of Digoxin.
Nalidixic acid,Digoxin,Nalidixic acid may decrease the cardiotoxic activities of Digoxin.
Belinostat,Digoxin,Belinostat may decrease the cardiotoxic activities of Digoxin.
Trametinib,Digoxin,Trametinib may decrease the cardiotoxic activities of Digoxin.
Naloxegol,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Naloxegol.
Anastrozole,Digoxin,Anastrozole may decrease the cardiotoxic activities of Digoxin.
Raltitrexed,Digoxin,Raltitrexed may decrease the cardiotoxic activities of Digoxin.
Bosutinib,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Bosutinib.
Calcipotriol,Digoxin,Calcipotriol may decrease the cardiotoxic activities of Digoxin.
Cobimetinib,Digoxin,Cobimetinib may decrease the cardiotoxic activities of Digoxin.
Besifloxacin,Digoxin,Besifloxacin may decrease the cardiotoxic activities of Digoxin.
Tegafur,Digoxin,Tegafur may decrease the cardiotoxic activities of Digoxin.
Alitretinoin,Digoxin,Alitretinoin may decrease the cardiotoxic activities of Digoxin.
Pipobroman,Digoxin,Pipobroman may decrease the cardiotoxic activities of Digoxin.
Uracil mustard,Digoxin,Uracil mustard may decrease the cardiotoxic activities of Digoxin.
Alectinib,Digoxin,Alectinib may decrease the cardiotoxic activities of Digoxin.
Testolactone,Digoxin,Testolactone may decrease the cardiotoxic activities of Digoxin.
Eflornithine,Digoxin,Eflornithine may decrease the cardiotoxic activities of Digoxin.
Trovafloxacin,Digoxin,Trovafloxacin may decrease the cardiotoxic activities of Digoxin.
Radium Ra 223 dichloride,Digoxin,Radium Ra 223 dichloride may decrease the cardiotoxic activities of Digoxin.
Nintedanib,Digoxin,Nintedanib may decrease the cardiotoxic activities of Digoxin.
Methyl aminolevulinate,Digoxin,Methyl aminolevulinate may decrease the cardiotoxic activities of Digoxin.
Enoxacin,Digoxin,Enoxacin may decrease the cardiotoxic activities of Digoxin.
Pefloxacin,Digoxin,Pefloxacin may decrease the cardiotoxic activities of Digoxin.
Azelaic acid,Digoxin,Azelaic acid may decrease the cardiotoxic activities of Digoxin.
Cinoxacin,Digoxin,Cinoxacin may decrease the cardiotoxic activities of Digoxin.
Phenylacetic acid,Digoxin,Phenylacetic acid may decrease the cardiotoxic activities of Digoxin.
Sparfloxacin,Digoxin,Sparfloxacin may decrease the cardiotoxic activities of Digoxin.
Niraparib,Digoxin,Niraparib may decrease the cardiotoxic activities of Digoxin.
Vapreotide,Digoxin,Vapreotide may decrease the cardiotoxic activities of Digoxin.
Verteporfin,Digoxin,Verteporfin may decrease the cardiotoxic activities of Digoxin.
Trilostane,Digoxin,Trilostane may decrease the cardiotoxic activities of Digoxin.
Sonidegib,Digoxin,Sonidegib may decrease the cardiotoxic activities of Digoxin.
Cyproterone acetate,Digoxin,Cyproterone acetate may decrease the cardiotoxic activities of Digoxin.
Suramin,Digoxin,Suramin may decrease the cardiotoxic activities of Digoxin.
Iobenguane,Digoxin,Iobenguane may decrease the cardiotoxic activities of Digoxin.
Omacetaxine mepesuccinate,Digoxin,Omacetaxine mepesuccinate may decrease the cardiotoxic activities of Digoxin.
Aminoglutethimide,Digoxin,Aminoglutethimide may decrease the cardiotoxic activities of Digoxin.
Gatifloxacin,Digoxin,Gatifloxacin may decrease the cardiotoxic activities of Digoxin.
Mequinol,Digoxin,Mequinol may decrease the cardiotoxic activities of Digoxin.
Podophyllin,Digoxin,Podophyllin may decrease the cardiotoxic activities of Digoxin.
Megestrol acetate,Digoxin,Megestrol acetate may decrease the cardiotoxic activities of Digoxin.
Fleroxacin,Digoxin,Fleroxacin may decrease the cardiotoxic activities of Digoxin.
Phenylbutyric acid,Digoxin,Phenylbutyric acid may decrease the cardiotoxic activities of Digoxin.
Pixantrone,Digoxin,Pixantrone may decrease the cardiotoxic activities of Digoxin.
Trifluridine,Digoxin,Trifluridine may decrease the cardiotoxic activities of Digoxin.
Medrogestone,Digoxin,Medrogestone may decrease the cardiotoxic activities of Digoxin.
Lycopene,Digoxin,Lycopene may decrease the cardiotoxic activities of Digoxin.
Penicillamine,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Penicillamine.
Ledipasvir,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Ledipasvir.
Prucalopride,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Prucalopride.
Sucralfate,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Sucralfate.
Deferasirox,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Deferasirox.
Kaolin,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Kaolin.
Aminolevulinic acid,Digitoxin,Aminolevulinic acid may decrease the cardiotoxic activities of Digitoxin.
Temoporfin,Digitoxin,Temoporfin may decrease the cardiotoxic activities of Digitoxin.
Cyclophosphamide,Digitoxin,Cyclophosphamide may decrease the cardiotoxic activities of Digitoxin.
Paclitaxel,Digitoxin,Paclitaxel may decrease the cardiotoxic activities of Digitoxin.
Docetaxel,Digitoxin,Docetaxel may decrease the cardiotoxic activities of Digitoxin.
Cabazitaxel,Digitoxin,Cabazitaxel may decrease the cardiotoxic activities of Digitoxin.
Sulpiride,Digitoxin,The risk or severity of adverse effects can be increased when Sulpiride is combined with Digitoxin.
Rifabutin,Digitoxin,The metabolism of Digitoxin can be increased when combined with Rifabutin.
Phenytoin,Digitoxin,The metabolism of Digitoxin can be increased when combined with Phenytoin.
Rifampicin,Digitoxin,The metabolism of Digitoxin can be increased when combined with Rifampicin.
Fosphenytoin,Digitoxin,The metabolism of Digitoxin can be increased when combined with Fosphenytoin.
Carbamazepine,Digitoxin,The metabolism of Digitoxin can be increased when combined with Carbamazepine.
Primidone,Digitoxin,The metabolism of Digitoxin can be increased when combined with Primidone.
Phenobarbital,Digitoxin,The metabolism of Digitoxin can be increased when combined with Phenobarbital.
Pentobarbital,Digitoxin,The metabolism of Digitoxin can be increased when combined with Pentobarbital.
Nevirapine,Digitoxin,The metabolism of Digitoxin can be increased when combined with Nevirapine.
Rifapentine,Digitoxin,The metabolism of Digitoxin can be increased when combined with Rifapentine.
Bosentan,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Bosentan.
Lumacaftor,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Lumacaftor.
Anagrelide,Digitoxin,Anagrelide may decrease the cardiotoxic activities of Digitoxin.
Carboplatin,Digitoxin,Carboplatin may decrease the cardiotoxic activities of Digitoxin.
Etacrynic acid,Digitoxin,The risk or severity of adverse effects can be increased when Etacrynic acid is combined with Digitoxin.
Pirlindole,Digitoxin,Pirlindole may decrease the cardiotoxic activities of Digitoxin.
Procarbazine,Digitoxin,Procarbazine may decrease the cardiotoxic activities of Digitoxin.
Sunitinib,Digitoxin,Sunitinib may decrease the cardiotoxic activities of Digitoxin.
Lanreotide,Digitoxin,Lanreotide may decrease the cardiotoxic activities of Digitoxin.
Imatinib,Digitoxin,Imatinib may decrease the cardiotoxic activities of Digitoxin.
Crizotinib,Digitoxin,Crizotinib may decrease the cardiotoxic activities of Digitoxin.
Mitotane,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Mitotane.
Dienogest,Digitoxin,Dienogest may decrease the cardiotoxic activities of Digitoxin.
Olaparib,Digitoxin,Olaparib may decrease the cardiotoxic activities of Digitoxin.
Rucaparib,Digitoxin,Rucaparib may decrease the cardiotoxic activities of Digitoxin.
Prednisolone,Digitoxin,Prednisolone may decrease the cardiotoxic activities of Digitoxin.
Midostaurin,Digitoxin,Midostaurin may decrease the cardiotoxic activities of Digitoxin.
